,place_id,name,cre_id,Longitud,Latitud,regular,premium
1927,3982,OPERADORA LA PIEDAD S.A. DE C.V.,PL/2368/EXP/ES/2015,-99.08327,19.40765,20.52,22.69
1970,4041,"SERVICIO ZORA, S. A. DE C. V.",PL/2493/EXP/ES/2015,-99.03296,19.42456,19.79,21.84
1993,4065,"SERVICIO CIUDAD LAGO, S.A. DE C.V.",PL/2347/EXP/ES/2015,-99.05029,19.45236,20.05,22
2013,4085,"Servicio Madero, S.A. de C.V.",PL/2472/EXP/ES/2015,-99.11723,19.44328,20.99,22.99
2030,4102,"GASO-MEX, S.A. DE C.V.",PL/2385/EXP/ES/2015,-99.12267,19.48701,21.09,22.69
2066,4138,SERVICIOS LA CAÑADA SA DE CV,PL/2278/EXP/ES/2015,-99.21738,19.32274,21.89,23.49
2075,4147,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/2429/EXP/ES/2015,-99.2072,19.42218,21.99,23.29
2078,4150,"Gasolinería Murcia, S.A. de C.V.",PL/2468/EXP/ES/2015,-99.18784,19.37662,20.99,22.99
2089,4161,"Gasolinería Murcia, S.A. de C.V.",PL/2483/EXP/ES/2015,-99.18613,19.35251,21.79,23.49
2118,4190,SERVICIO IZQUIERDO SA DE CV,PL/2279/EXP/ES/2015,-99.20255,19.34669,21.89,23.49
2167,4334,Super Servicio Periferico SA de CV,PL/2600/EXP/ES/2015,-99.05661,19.36864,20.14,22.09
2357,4524,Servicio Mena SA de CV,PL/2594/EXP/ES/2015,-99.14928,19.28645,20.59,22.19
2412,4579,"SERVICIO MUSEO, S.A. DE C.V.",PL/2724/EXP/ES/2015,-99.15618,19.44205,20.78,22.88
2423,4590,"LENIGAS, SA DE CV",PL/2789/EXP/ES/2015,-99.16231,19.39673,20.45,22.45
2447,4614,SERVICIO SAN PEDRO SA DE CV.,PL/2700/EXP/ES/2015,-99.19009,19.38925,21.25,22.8
2537,4711,FRANCISCO PADILLA ORTIZ,PL/5883/EXP/ES/2015,-99.15264,19.39042,20.49,22.49
2610,4784,"ESTACIONES ECOLOGICAS DE SERVICIOS, S.A. DE C.V.",PL/5488/EXP/ES/2015,-99.0502,19.39237,20.29,22.39
2647,4821,SERVICIO DELORRE S.A DE C.V,PL/5881/EXP/ES/2015,-99.11591,19.45132,20.39,22.89
2680,4854,Inmobiliaria Aja Gomez SA de CV,PL/5312/EXP/ES/2015,-99.09034,19.36667,21.19,22.99
2823,4998,SERVICIO ALDAMA S A,PL/5497/EXP/ES/2015,-99.15187,19.4402,20.79,22.79
2827,5002,SERVICIO ESTANZUELA S.A. DE C.V.,PL/5190/EXP/ES/2015,-99.09967,19.4912,21.09,22.99
2847,5022,SERVICIO APATLACO SA DE CV,PL/5330/EXP/ES/2015,-99.11102,19.38103,20.2,23.25
2884,5059,Servicio Tres Encinas SA de CV,PL/5306/EXP/ES/2015,-99.08645,19.3806,21.19,22.99
2895,5070,Servicio Cuexoch S.A. DE C.V.,PL/5277/EXP/ES/2015,-99.10278,19.29399,19.99,22.29
3030,5205,"SERVICIO PATZCUARO, S.A. DE C.V.",PL/5658/EXP/ES/2015,-99.17207,19.44224,20.65,22.89
3119,5294,Servicio Cascadiña SA de CV,PL/5954/EXP/ES/2015,-99.14639,19.40134,19.99,21.99
3188,5363,"SERVICIO LOMAS ESTRELLA, S.A. DE C.V.",PL/5332/EXP/ES/2015,-99.09616,19.32293,20.2,23.25
3196,5371,"OLESMA, S.A. DE C.V.",PL/5072/EXP/ES/2015,-99.01744,19.19645,21.39,22.89
3332,5508,"ESTACIONES ECOLOGICAS DE SERVICIOS, S.A. DE C.V.",PL/5461/EXP/ES/2015,-99.09188,19.42852,20.09,22.19
3345,5521,Ju Vita SA de CV,PL/5267/EXP/ES/2015,-99.07862,19.37629,19.79,22.09
3421,5598,"ESTACIONES ECOLOGICAS DE SERVICIOS, S.A. DE C.V.",PL/5495/EXP/ES/2015,-99.10009,19.42262,19.89,21.99
3480,5657,Rio Tuerto SA de CV,PL/5926/EXP/ES/2015,-99.1132,19.33691,20.99,22.99
3533,5711,"Servicio Dan Rom, S.A. de C.V.",PL/5975/EXP/ES/2015,-99.14379,19.41101,19.98,22
3710,5889,LUBRICANTES ROBI S.A. DE C.V.,PL/3540/EXP/ES/2015,-99.11272,19.48769,20.48,22.34
3719,5898,JOSE LUIS GULIAS MERELLES,PL/3626/EXP/ES/2015,-99.10093,19.46975,20.99,22.99
3742,5921,"Grupo Gende, S.A. de C.V.",PL/4943/EXP/ES/2015,-99.12203,19.44158,19.99,22.99
3774,5953,MEGA GASOLINERAS S.A DE C.V,PL/4126/EXP/ES/2015,-99.18894,19.36097,20.89,23.79
3834,6013,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/4072/EXP/ES/2015,-99.10832,19.36796,21.19,23.19
3887,6066,"REFACCIONES MODERNAS ROMERO HNOS, S.A. DE C.V.",PL/3324/EXP/ES/2015,-99.01485,19.35291,21.54,22.89
3933,6112,Servicio Arenas SA de CV,PL/3520/EXP/ES/2015,-99.18777,19.40472,21.25,22.85
3947,6126,"ABASTECEDORA SUZUKA, S.A. DE C.V.",PL/4388/EXP/ES/2015,-99.07701,19.37857,20.14,22.27
3949,6128,Puerto Alisas SA de CV,PL/4170/EXP/ES/2015,-99.08096,19.37984,21.19,22.99
3962,6141,SERVICIO ANZURES S.A. DE C.V,PL/3384/EXP/ES/2015,-99.17178,19.43506,19.59,21.89
4028,6207,Servicio Coyoacan SA de CV,PL/3369/EXP/ES/2015,-99.17291,19.34541,21.35,22.99
